LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,GRADES_SERVED_DESC,STUDENT_COUNT_ALL,FIVE_OR_FEWER_PERCENT_ALL,SIX_TO_FIFTEEN_PERCENT_ALL,OVER_15_PERCENT_ALL,STUDENT_COUNT_INDIAN,FIVE_OR_FEWER_PERCENT_INDIAN,SIX_TO_FIFTEEN_PERCENT_INDIAN,OVER_15_PERCENT_INDIAN,STUDENT_COUNT_ASIAN,FIVE_OR_FEWER_PERCENT_ASIAN,SIX_TO_FIFTEEN_PERCENT_ASIAN,OVER_15_PERCENT_ASIAN,STUDENT_COUNT_BLACK,FIVE_OR_FEWER_PERCENT_BLACK,SIX_TO_FIFTEEN_PERCENT_BLACK,OVER_15_PERCENT_BLACK,STUDENT_COUNT_WHITE,FIVE_OR_FEWER_PERCENT_WHITE,SIX_TO_FIFTEEN_PERCENT_WHITE,OVER_15_PERCENT_WHITE,STUDENT_COUNT_HISPANI,FIVE_OR_FEWER_PERCENT_HISPANI,SIX_TO_FIFTEEN_PERCENT_HISPANI,OVER_15_PERCENT_HISPANI,STUDENT_COUNT_MULTI,FIVE_OR_FEWER_PERCENT_MULTI,SIX_TO_FIFTEEN_PERCENT_MULTI,OVER_15_PERCENT_MULTI,STUDENT_COUNT_FEMALE,FIVE_OR_FEWER_PERCENT_FEMALE,SIX_TO_FIFTEEN_PERCENT_FEMALE,OVER_15_PERCENT_FEMALE,STUDENT_COUNT_MALE,FIVE_OR_FEWER_PERCENT_MALE,SIX_TO_FIFTEEN_PERCENT_MALE,OVER_15_PERCENT_MALE,STUDENT_COUNT_SWD,FIVE_OR_FEWER_PERCENT_SWD,SIX_TO_FIFTEEN_PERCENT_SWD,OVER_15_PERCENT_SWD,STUDENT_COUNT_NOT_SWD,FIVE_OR_FEWER_PERCENT_NOT_SWD,SIX_TO_FIFTEEN_PERCENT_NOT_SWD,OVER_15_PERCENT_NOT_SWD,STUDENT_COUNT_ED,FIVE_OR_FEWER_PERCENT_ED,SIX_TO_FIFTEEN_PERCENT_ED,OVER_15_PERCENT_ED,STUDENT_COUNT_NOT_ED,FIVE_OR_FEWER_PERCENT_NOT_ED,SIX_TO_FIFTEEN_PERCENT_NOT_ED,OVER_15_PERCENT_NOT_ED,STUDENT_COUNT_LEP,FIVE_OR_FEWER_PERCENT_LEP,SIX_TO_FIFTEEN_PERCENT_LEP,OVER_15_PERCENT_LEP,STUDENT_COUNT_MIGRANT,FIVE_OR_FEWER_PERCENT_MIGRANT,SIX_TO_FIFTEEN_PERCENT_MIGRANT,OVER_15_PERCENT_MIGRANT
2011-12,School,601,Appling County,103,Appling County High School,"09,10,11,12",1019,36,43.8,20.2,0,0,0,0,0,0,0,0,233,48.5,36.9,14.6,673,30.2,47.1,22.7,89,49.4,33.7,16.9,15,33.3,46.7,20,450,31.1,46.7,22.2,569,39.9,41.5,18.6,159,33.3,42.1,24.5,860,36.5,44.1,19.4,602,32.2,43.2,24.6,417,41.5,44.6,13.9,19,57.9,26.3,15.8,27,40.7,37,22.2
2011-12,School,601,Appling County,109,Baxley Wilderness Institute,"07,08,09,10",69,100,0,0,0,0,0,0,0,0,0,0,53,100,0,0,13,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,100,0,0,10,100,0,0,59,100,0,0,67,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12,School,601,Appling County,177,Appling County Elementary School,"03,04,05",577,67.2,30.2,2.6,0,0,0,0,0,0,0,0,177,81.4,18.1,0.6,299,55.5,40.8,3.7,79,82.3,17.7,0,16,62.5,25,12.5,287,67.2,30.3,2.4,290,67.2,30,2.8,71,67.6,28.2,4.2,506,67.2,30.4,2.4,412,66.5,30.1,3.4,165,69.1,30.3,0.6,33,84.8,15.2,0,29,86.2,13.8,0
2011-12,School,601,Appling County,195,Appling County Middle School,"06,07,08",813,51.2,40,8.9,0,0,0,0,0,0,0,0,177,66.1,28.2,5.6,513,42.5,46.2,11.3,104,64.4,33.7,1.9,12,66.7,25,8.3,379,52,41.4,6.6,434,50.5,38.7,10.8,124,38.7,41.9,19.4,689,53.4,39.6,7,513,46.8,41.3,11.9,300,58.7,37.7,3.7,26,84.6,15.4,0,31,67.7,32.3,0
2011-12,School,601,Appling County,277,Appling County Primary School,"PK,KK,01,02",670,59.7,34.5,5.8,0,0,0,0,0,0,0,0,186,67.7,30.1,2.2,326,52.1,38.7,9.2,127,71.7,26,2.4,24,41.7,54.2,4.2,335,60.3,34.3,5.4,335,59.1,34.6,6.3,104,60.6,30.8,8.7,566,59.5,35.2,5.3,509,58.7,35,6.3,161,62.7,32.9,4.3,101,70.3,28.7,1,41,63.4,34.1,2.4
2011-12,School,601,Appling County,1050,Altamaha Elementary School,"PK,KK,01,02,03,04,05",369,57.5,36.6,6,0,0,0,0,0,0,0,0,12,75,25,0,324,56.2,37.3,6.5,23,65.2,30.4,4.3,0,0,0,0,184,56,38.6,5.4,185,58.9,34.6,6.5,46,56.5,39.1,4.3,323,57.6,36.2,6.2,220,52.7,40.5,6.8,149,64.4,30.9,4.7,13,76.9,15.4,7.7,0,0,0,0
2011-12,School,601,Appling County,5050,Fourth District Elementary School,"PK,KK,01,02,03,04,05",129,72.9,21.7,5.4,0,0,0,0,0,0,0,0,15,73.3,26.7,0,94,74.5,19.1,6.4,14,78.6,21.4,0,0,0,0,0,63,73,20.6,6.3,66,72.7,22.7,4.5,14,64.3,35.7,0,115,73.9,20,6.1,70,67.1,25.7,7.1,59,79.7,16.9,3.4,0,0,0,0,0,0,0,0
2011-12,District,601,Appling County,ALL,All Column Values,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3646,53.4,36.7,9.9,0,0,0,0,27,51.9,37,11.1,853,67.2,27.1,5.7,2242,45.6,42,12.4,439,67.4,27.8,4.8,82,48.8,41.5,9.8,1698,51.9,38.5,9.7,1948,54.7,35.2,10.1,528,48.7,36.7,14.6,3118,54.2,36.7,9.1,2393,51.7,36.8,11.5,1253,56.6,36.6,6.9,201,74.1,23.4,2.5,143,64.3,29.4,6.3
2011-12,School,602,Atkinson County,103,Atkinson County High School,"09,10,11,12",452,62.6,28.1,9.3,0,0,0,0,0,0,0,0,86,58.1,31.4,10.5,217,59.9,31.8,8.3,143,69.2,21,9.8,0,0,0,0,219,64.4,28.3,7.3,233,60.9,27.9,11.2,51,33.3,37.3,29.4,401,66.3,26.9,6.7,452,62.6,28.1,9.3,0,0,0,0,18,83.3,16.7,0,0,0,0,0
2011-12,School,602,Atkinson County,111,Atkinson County Middle School,"06,07,08",412,57.8,35.7,6.6,0,0,0,0,0,0,0,0,83,66.3,28.9,4.8,196,48,42.9,9.2,127,66.9,29.1,3.9,0,0,0,0,200,63.5,32,4.5,212,52.4,39.2,8.5,64,48.4,35.9,15.6,348,59.5,35.6,4.9,412,57.8,35.7,6.6,0,0,0,0,25,80,16,4,0,0,0,0
2011-12,School,602,Atkinson County,187,Willacoochee Elementary School,"PK,KK,01,02,03,04,05",237,67.9,28.7,3.4,0,0,0,0,0,0,0,0,57,75.4,21.1,3.5,110,55.5,40.9,3.6,60,80,16.7,3.3,10,90,10,0,117,66.7,29.1,4.3,120,69.2,28.3,2.5,40,57.5,35,7.5,197,70.1,27.4,2.5,237,67.9,28.7,3.4,0,0,0,0,18,88.9,11.1,0,0,0,0,0
2011-12,School,602,Atkinson County,190,Pearson Elementary School,"PK,KK,01,02,03,04,05",661,69.6,27.4,3,0,0,0,0,0,0,0,0,92,68.5,29.3,2.2,302,62.9,34.4,2.6,249,78.3,18.1,3.6,15,60,33.3,6.7,329,68.7,28.6,2.7,332,70.5,26.2,3.3,88,59.1,33,8,573,71.2,26.5,2.3,661,69.6,27.4,3,0,0,0,0,126,77.8,19,3.2,10,70,10,20
2011-12,District,602,Atkinson County,ALL,All Column Values,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1762,64.8,29.7,5.5,0,0,0,0,0,0,0,0,318,66.4,28.3,5.3,825,57.6,36.6,5.8,579,73.7,21.1,5.2,35,71.4,22.9,5.7,865,66.1,29.4,4.5,897,63.5,30,6.5,243,50.6,35,14.4,1519,67.1,28.8,4.1,1762,64.8,29.7,5.5,0,0,0,0,187,79.7,17.6,2.7,32,65.6,28.1,6.3
2011-12,School,603,Bacon County,102,Bacon County Primary School,"PK,KK,01,02",551,55.9,35,9.1,0,0,0,0,0,0,0,0,124,60.5,33.1,6.5,317,50.8,38.5,10.7,89,73,21.3,5.6,18,27.8,55.6,16.7,272,53.7,37.5,8.8,279,58.1,32.6,9.3,88,37.5,43.2,19.3,463,59.4,33.5,7.1,330,50.6,37.6,11.8,221,63.8,31.2,5,67,80.6,16.4,3,37,86.5,10.8,2.7
2011-12,School,603,Bacon County,202,Bacon County Middle School,"06,07,08",498,45.2,46.2,8.6,0,0,0,0,0,0,0,0,86,47.7,37.2,15.1,361,43.8,49.6,6.6,36,44.4,44.4,11.1,13,61.5,23.1,15.4,246,42.7,48.8,8.5,252,47.6,43.7,8.7,87,41.4,48.3,10.3,411,46,45.7,8.3,303,38.9,50.2,10.9,195,54.9,40,5.1,10,40,60,0,0,0,0,0
2011-12,School,603,Bacon County,302,Bacon County High School,"09,10,11,12",548,33.8,44.9,21.4,0,0,0,0,0,0,0,0,117,35,41,23.9,378,32,47.6,20.4,39,46.2,35.9,17.9,12,33.3,25,41.7,272,33.1,43,23.9,276,34.4,46.7,18.8,66,25.8,53,21.2,482,34.9,43.8,21.4,291,28.9,42.6,28.5,257,39.3,47.5,13.2,0,0,0,0,11,36.4,54.5,9.1
2011-12,School,603,Bacon County,3050,Bacon County Elementary School,"03,04,05",490,59.6,37.3,3.1,0,0,0,0,0,0,0,0,88,72.7,26.1,1.1,323,52.9,43.3,3.7,57,77.2,19.3,3.5,18,55.6,44.4,0,248,60.1,37.1,2.8,242,59.1,37.6,3.3,68,64.7,29.4,5.9,422,58.8,38.6,2.6,285,55.4,40,4.6,205,65.4,33.7,1,26,80.8,15.4,3.8,12,75,25,0
2011-12,District,603,Bacon County,ALL,All Column Values,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2087,48.4,40.8,10.8,0,0,0,0,10,70,30,0,415,53.3,34.7,12,1379,44.3,45,10.7,221,64.7,27.1,8.1,61,44.3,39.3,16.4,1038,47.2,41.5,11.3,1049,49.6,40.1,10.3,309,42.1,43.7,14.2,1778,49.5,40.3,10.2,1209,43.6,42.5,13.9,878,55,38.5,6.5,112,74.1,21.4,4.5,69,69.6,26.1,4.3
2011-12,School,604,Baker County,105,Baker County K12 School,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",361,60.7,32.1,7.2,0,0,0,0,0,0,0,0,255,62.4,29.4,8.2,73,54.8,42.5,2.7,25,80,16,4,0,0,0,0,196,62.2,33.2,4.6,165,58.8,30.9,10.3,64,57.8,35.9,6.3,297,61.3,31.3,7.4,361,60.7,32.1,7.2,0,0,0,0,16,81.3,12.5,6.3,11,90.9,0,9.1
2011-12,District,604,Baker County,ALL,All Column Values,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",361,60.7,32.1,7.2,0,0,0,0,0,0,0,0,255,62.4,29.4,8.2,73,54.8,42.5,2.7,25,80,16,4,0,0,0,0,196,62.2,33.2,4.6,165,58.8,30.9,10.3,64,57.8,35.9,6.3,297,61.3,31.3,7.4,361,60.7,32.1,7.2,0,0,0,0,16,81.3,12.5,6.3,11,90.9,0,9.1
2011-12,School,605,Baldwin County,100,Oak Hill MS,"06,07,08",1237,67.1,26.9,6,0,0,0,0,11,81.8,18.2,0,805,73.5,22,4.5,350,54.6,36.3,9.1,28,75,21.4,3.6,41,41.5,48.8,9.8,599,67.9,26.5,5.5,638,66.3,27.3,6.4,151,68.9,19.9,11.3,1086,66.9,27.9,5.2,933,65.7,27.5,6.8,304,71.4,25,3.6,11,90.9,0,9.1,0,0,0,0
2011-12,School,605,Baldwin County,104,Eagle Ridge Elementary School,"KK,01,02,03,04,05",864,70.3,26.7,3,0,0,0,0,0,0,0,0,656,72.1,25.9,2,178,66.3,27.5,6.2,0,0,0,0,23,47.8,43.5,8.7,418,72.5,23.9,3.6,446,68.2,29.4,2.5,74,56.8,39.2,4.1,790,71.5,25.6,2.9,754,69,28,3.1,110,79.1,18.2,2.7,0,0,0,0,0,0,0,0
2011-12,School,605,Baldwin County,189,Baldwin High School,"09,10,11,12",1382,44.4,34.9,20.8,0,0,0,0,16,75,18.8,6.3,939,44.5,35.4,20.1,382,42.9,35.1,22,20,50,25,25,23,34.8,30.4,34.8,705,43.3,36.5,20.3,677,45.5,33.2,21.3,217,36.9,38.7,24.4,1165,45.8,34.2,20.1,974,41.1,35.6,23.3,408,52.2,33.1,14.7,0,0,0,0,0,0,0,0
2011-12,School,605,Baldwin County,194,Midway Elementary School,"KK,01,02,03,04,05",613,61,31.3,7.7,0,0,0,0,0,0,0,0,369,69.9,25.5,4.6,211,46.9,40.3,12.8,0,0,0,0,26,50,38.5,11.5,284,60.2,32.4,7.4,329,61.7,30.4,7.9,79,54.4,29.1,16.5,534,62,31.6,6.4,522,62.3,30.7,7.1,91,53.8,35.2,11,0,0,0,0,0,0,0,0
2011-12,School,605,Baldwin County,195,Blandy Hills Elementary School,"KK,01,02,03,04,05",861,70.8,26,3.1,0,0,0,0,13,76.9,23.1,0,497,75.3,22.5,2.2,295,62,32.9,5.1,29,82.8,17.2,0,24,75,20.8,4.2,412,68.7,28.4,2.9,449,72.8,23.8,3.3,70,64.3,34.3,1.4,791,71.4,25.3,3.3,592,71.1,25.5,3.4,269,70.3,27.1,2.6,36,80.6,16.7,2.8,0,0,0,0
2011-12,School,605,Baldwin County,199,Creekside Elementary School,"KK,01,02,03,04,05",944,70,26.8,3.2,0,0,0,0,27,81.5,18.5,0,490,76.9,20.2,2.9,360,65.3,31.1,3.6,27,33.3,59.3,7.4,40,45,52.5,2.5,470,68.1,28.5,3.4,474,71.9,25.1,3,85,62.4,30.6,7.1,859,70.8,26.4,2.8,627,65.9,30,4.1,317,78.2,20.5,1.3,14,57.1,42.9,0,0,0,0,0
2011-12,District,605,Baldwin County,ALL,All Column Values,"KK,01,02,03,04,05,06,07,08,09,10,11,12",5901,62.6,29.1,8.3,0,0,0,0,72,77.8,20.8,1.4,3756,66.3,26.2,7.5,1776,55.7,34,10.2,113,61.9,31,7.1,177,48,41.2,10.7,2888,61.9,29.7,8.3,3013,63.3,28.4,8.3,676,54.3,32,13.8,5225,63.7,28.7,7.6,4402,61.2,29.9,9,1499,66.9,26.8,6.3,68,76.5,19.1,4.4,0,0,0,0
2011-12,School,606,Banks County,105,Banks County Middle School,"06,07,08",764,61,34.4,4.6,0,0,0,0,0,0,0,0,17,82.4,17.6,0,668,57.6,37.3,5.1,61,85.2,14.8,0,10,70,20,10,358,60.9,33,6.1,406,61.1,35.7,3.2,110,50,41.8,8.2,654,62.8,33.2,4,230,54.8,39.1,6.1,534,63.7,32.4,3.9,25,92,8,0,0,0,0,0
2011-12,School,606,Banks County,107,Banks County Elementary School,"03,04,05",734,61.4,32.8,5.7,0,0,0,0,10,100,0,0,17,76.5,23.5,0,644,60.4,33.2,6.4,47,68.1,31.9,0,16,43.8,50,6.3,337,63.2,29.4,7.4,397,59.9,35.8,4.3,135,58.5,38.5,3,599,62.1,31.6,6.3,90,48.9,40,11.1,644,63.2,31.8,5,40,70,30,0,0,0,0,0
2011-12,School,606,Banks County,199,Banks County High School,"09,10,11,12",872,54.5,31.8,13.8,0,0,0,0,14,71.4,14.3,14.3,30,66.7,30,3.3,766,52.9,32.5,14.6,57,61.4,29.8,8.8,0,0,0,0,432,54.4,29.2,16.4,440,54.5,34.3,11.1,141,45.4,39.7,14.9,731,56.2,30.2,13.5,523,46.5,35.4,18.2,349,66.5,26.4,7.2,10,50,30,20,0,0,0,0
2011-12,School,606,Banks County,205,Banks County Primary School,"PK,KK,01,02",701,51.4,42.8,5.8,0,0,0,0,0,0,0,0,0,0,0,0,621,49.1,44.4,6.4,46,58.7,41.3,0,19,78.9,21.1,0,331,50.8,43.8,5.4,370,51.9,41.9,6.2,103,40.8,49.5,9.7,598,53.2,41.6,5.2,0,0,0,0,701,51.4,42.8,5.8,37,56.8,43.2,0,0,0,0,0
2011-12,District,606,Banks County,ALL,All Column Values,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3071,57,35.2,7.7,0,0,0,0,37,86.5,5.4,8.1,73,75.3,23.3,1.4,2699,55,36.6,8.4,211,69.2,28.4,2.4,50,68,28,4,1458,57.2,33.5,9.3,1613,56.9,36.8,6.3,489,49.1,41.9,9,2582,58.6,33.9,7.5,843,49,36.9,14.1,2228,60.1,34.6,5.3,112,68.8,29.5,1.8,0,0,0,0
2011-12,School,607,Barrow County,101,Apalachee High School,"09,10,11,12",1738,56.8,26.1,17.1,0,0,0,0,112,78.6,9.8,11.6,245,65.3,24.9,9.8,1118,52.9,27.4,19.8,211,58.3,26.5,15.2,48,47.9,37.5,14.6,830,55.5,26.3,18.2,908,58,25.9,16.1,196,43.9,28.6,27.6,1542,58.5,25.7,15.8,992,52.2,27.2,20.6,746,63,24.5,12.5,60,66.7,21.7,11.7,0,0,0,0
